Subject,Cl,Cr,Ll,Lr
0,0.0,0.0,0.0,0.0
1,0.21028199249298168,0.20762846886161698,2.2921290322580643,2.255367110347789
2,0.22836318480311213,0.21770627793273406,2.337922895357986,2.262022327179047
3,0.2646008735067724,0.24080120623135923,2.3539354838709676,2.303241734650064
4,0.26190193999082123,0.29839669567313903,2.3286126409651193,2.3326797385620917
5,0.2417655148223238,0.1980429870014579,2.3713548387096774,2.259553456419064
6,0.23885715838987295,0.24435213082915808,2.309548387096774,2.2955130957492487
7,0.21174201909505697,0.2240734712728418,2.2896774193548386,2.2520395019321597
8,0.0,0.0,0.0,0.0
9,0.19008931998190295,0.20550945394627268,2.2896774193548386,2.2615929583512235
10,0.23989994111825808,0.2028586418033769,2.3211612903225807,2.2443108630313438
11,0.23046864727979258,0.26596302660534066,2.289806451612903,2.3337269214255043
12,0.2204293399834387,0.20154373423013863,2.2899354838709676,2.2479604980678403
13,0.23901543130705052,0.21910911551052553,2.333032258064516,2.2946543580936023
14,0.2121626937612722,0.22644103928767587,2.297548387096774,2.2754401030485187
15,0.20757579552927655,0.19849645064027419,2.322187254130606,2.2531129240017176
16,0.20397921065169933,0.2357349260326741,2.285806451612903,2.3003434950622585
17,0.23013900565941603,0.20100753969841845,2.319483870967742,2.2551524259338773
18,0.1918481638072968,0.2096783194428101,2.2936774193548386,2.2636324602833833
19,0.23812463741370707,0.20835718375827364,2.3108387096774194,2.253756977243452
20,0.21381308942197344,0.229273221186771,2.2867820613690006,2.2569375345494747
21,0.22562031457542012,0.25973230538373554,2.309548387096774,2.301094890510949
22,0.2290831989718674,0.227176147741588,2.3101935483870966,2.249033920137398
23,0.25387699400136987,0.2267247758893391,2.344872803566745,2.2702876771146414
24,0.21498676198541583,0.24815800668423174,2.3181935483870966,2.2796264491197937
25,0.24941380403297203,0.2213423541682555,2.3023225806451615,2.2828467153284673
26,0.2321122485194787,0.2210395277597436,2.3082874377130866,2.2877844568484327
27,0.2434102888771984,0.22222326267676729,2.339225806451613,2.2381263616557736
28,0.25006460286394117,0.23261395667677653,2.3696774193548387,2.346822670674109
29,0.2797598258629799,0.23497369361095233,2.3797534749541045,2.30359477124183
30,0.20286304039052194,0.19748348984750913,2.296774193548387,2.2540790038643195
31,0.20947830389823757,0.21460211966695686,2.3129032258064517,2.252361528553027
32,0.22614641527364443,0.22346285684185674,2.327741935483871,2.2717904680120222
33,0.2129885306892333,0.22424262642892417,2.285032258064516,2.2802705023615286
34,0.19779490343849465,0.229365176473585,2.2814193548387096,2.282632030914556
35,0.21924980270439853,0.2209360315475703,2.2890112772095463,2.254937741519966
36,0.22149489520425564,0.2419455832097112,2.2889032258064517,2.33308286818377
37,0.21962834810663112,0.22692975392924286,2.3569032258064517,2.287569772434521
38,0.1902640871250911,0.23711829521521172,2.298709677419355,2.301094890510949
39,0.20501644392111457,0.20071625899780873,2.2903225806451615,2.2420566766852725
40,0.22527687406833447,0.2042567617459317,2.3113548387096774,2.2531129240017176
41,0.22770627522948422,0.22421592262654988,2.3131612903225807,2.2937956204379564
42,0.2283437028248242,0.23091498855591255,2.2692105953317596,2.2782135076252725
43,0.20545119613788349,0.21171873491423124,2.3025806451612905,2.254723057106054
44,0.2235591903644412,0.21572346153460806,2.3145816942040387,2.279519106912838
45,0.2475624577854232,0.20505360443587423,2.3438237608182533,2.276191498497209
46,0.22963985333924816,0.22417974226814874,2.2897507663601226,2.2519321597252038
47,0.23592210644315725,0.23733348508825308,2.3082874377130866,2.284242164018892
48,0.2186450632480245,0.2168353967223802,2.3193548387096774,2.264276513525118
49,0.2326145513483407,0.2604372580504306,2.32166273275636,2.289110005527916
50,0.19961432245085484,0.18876523297538578,2.2859354838709676,2.2393731215113784
51,0.21899699769099137,0.2363896899717558,2.3070967741935484,2.2881064834693
52,0.21955962881945373,0.28744852134090004,2.34,2.324183006535948
53,0.23880672564762498,0.23877467637921576,2.3154996066089693,2.310893246187364
54,0.23650424088104008,0.2408338251296576,2.300774193548387,2.2916487762988407
55,0.19990878032632758,0.20850700630321237,2.2643870967741937,2.260304851867754
56,0.2129355292735571,0.2427558466724223,2.3129032258064517,2.284778875053671
57,0.19984404915615023,0.2056161587965351,2.3028387096774194,2.264705882352941
58,0.2264926302298172,0.2159789153268396,2.309205350118017,2.2633104336625163
59,0.22966198527609885,0.22052243469778174,2.3446451612903227,2.2632030914555603
60,0.20120831610580434,0.2283005534252479,2.3043870967741937,2.2737226277372264
61,0.24091964359317156,0.25158706894146365,2.3776774193548387,2.2828467153284673
62,0.22531594495063867,0.21479317127779426,2.321032258064516,2.2458605664488016
