index,network,network_names,connection,censor,Beta
26233,5-5,Default mode-Default mode,97-100,TRUE,-0.003001109566355867
28883,5-5,Default mode-Default mode,107-110,TRUE,0.023941374633905704
29118,5-5,Default mode-Default mode,78-111,TRUE,-0.003817557248830403
33895,5-5,Default mode-Default mode,103-129,TRUE,-0.018872620775249892
48948,5-8,Default mode-Fronto-parietal Task Control,108-186,TRUE,-0.018988250125821296
48966,5-8,Default mode-Fronto-parietal Task Control,126-186,TRUE,0.00830925438676748
49221,5-8,Default mode-Fronto-parietal Task Control,117-187,TRUE,-0.011563187256469563
49970,5-8,Default mode-Fronto-parietal Task Control,74-190,TRUE,-0.021687351066227076
49976,5-8,Default mode-Fronto-parietal Task Control,80-190,TRUE,2.4841191855962623e-4
50516,5-8,Default mode-Fronto-parietal Task Control,92-192,TRUE,-7.680395089844936e-4
51619,5-8,Default mode-Fronto-parietal Task Control,139-196,TRUE,-2.4464131412140157e-5
51858,5-8,Default mode-Fronto-parietal Task Control,114-197,TRUE,-5.36879274135771e-4
50348,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,188-191,TRUE,0.019634885344431197
50874,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,186-193,TRUE,-0.016740833489288086
51133,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,181-194,TRUE,0.008451793752870146
